YEAR,MONTH,DAY,RAINFALL,TMAX,TMIN,TMEAN,RH,WIND_SPEED,WIND_DIRECTION
2011,1,1,0.6,19.2,15.5,17.4,77,5,40
2011,1,2,0,21.2,15.4,18.3,78,5,40
2011,1,3,0.8,24,19,21.5,80,5,90
2011,1,4,23,22.5,17.5,20,86,6,90
2011,1,5,11.2,22.7,18.5,20.6,84,8,90
2011,1,6,53,24.5,15.6,20,85,6,90
2011,1,7,8.4,21,16.4,18.7,91,7,70
2011,1,8,0.4,23.6,19.3,21.5,82,7,90
2011,1,9,42.9,23.5,17,20.3,87,6,20
2011,1,10,4.4,21.5,17.3,19.4,92,5,20
2011,1,11,39,22.2,16,19.1,97,5,40
2011,1,12,12.4,19.5,15.8,17.6,90,6,40
2011,1,13,11.4,21,17,19,91,7,40
2011,1,14,48.8,23,19,21,87,6,90
2011,1,15,15.4,21.5,15,18.3,87,10,20
2011,1,16,0.1,18.5,15.4,17,75,7,40
2011,1,17,4.2,19.6,15.3,17.5,80,6,40
2011,1,18,13.2,21,16.4,18.7,90,8,70
2011,1,19,12.2,22.3,18.6,20.5,95,7,90
2011,1,20,24.4,21.2,18.4,19.8,99,8,90
2011,1,21,25.6,21.2,16.2,18.7,99,7,340
2011,1,22,4.2,21,17,19,88,6,40
2011,1,23,0.5,22.4,16.8,19.6,85,3,60
2011,1,24,14.4,22.4,16.8,19.6,88,6,90
2011,1,25,0,22,16.5,19.3,82,8,90
2011,1,26,0,23.6,17,20.3,78,7,90
2011,1,27,0,23.6,18.8,21.2,81,7,110
2011,1,28,14,25.5,18,21.8,86,6,110
2011,1,29,17.6,23.2,15,19.1,82,6,40
2011,1,30,2.8,20.5,16.2,18.4,86,7,40
2011,1,31,0,24.5,15.6,20,77,7,40
2011,2,1,0,21.8,16,18.9,75,6,70
2011,2,2,0,23,18,20.5,75,6,70
2011,2,3,0,24.5,18.6,21.5,76,5,90
2011,2,4,0,25.5,18.6,22,77,4,90
2011,2,5,0,23.6,17.2,20.4,79,5,40
2011,2,6,0,23.2,18,20.6,79,4,60
2011,2,7,9.6,23.8,18.8,21.3,79,6,90
2011,2,8,9,23.2,18.4,20.8,90,3,90
2011,2,9,0,24,20,22,57,7,110
2011,2,10,0.2,25.3,20.7,23,91,5,110
2011,2,11,0.2,23.3,16.2,19.8,82,5,40
2011,2,12,0,20.2,14.8,17.5,72,8,40
2011,2,13,1,27.5,17.6,22.5,79,8,70
2011,2,14,13,23.2,15,19.1,93,7,20
2011,2,15,0,21.6,16.6,19.1,81,7,40
2011,2,16,0,23,18.8,20.9,86,8,90
2011,2,17,0,25.6,21.6,23.6,85,4,110
2011,2,18,0,25.5,18.8,22.2,87,5,90
2011,2,19,0,24.6,19.4,22,86,5,110
2011,2,20,0,25.5,18.6,22,86,3,360
2011,2,21,0,24.5,17.8,21.2,82,4,90
2011,2,22,0,23.5,17.7,20.6,83,4,90
2011,2,23,0,23.2,18.8,21,84,5,90
2011,2,24,0,24,18.8,21.4,84,7,110
2011,2,25,0,24.5,18.5,21.5,81,6,90
2011,2,26,0,23.5,17.6,20.5,76,5,90
2011,2,27,0,24.5,20.2,22.4,87,5,90
2011,2,28,0,24.6,20.2,22.4,88,6,90
2011,3,1,1.1,25,19.2,22.1,89,6,90
2011,3,2,1,22,17.6,19.8,88,7,40
2011,3,3,2.2,21,16.6,18.8,86,4,40
2011,3,4,4.6,20.4,15.7,18,87,6,40
2011,3,5,0,22,17,19.5,80,8,90
2011,3,6,27.6,24.6,20.4,22.5,92,7,110
2011,3,7,7,26.4,15.6,21,91,5,20
2011,3,8,0,21.5,15.8,18.6,76,5,40
2011,3,9,0,22.2,17,19.6,76,6,90
2011,3,10,0,23.5,17.8,20.7,81,6,90
2011,3,11,1,23.8,18.8,21.3,84,8,90
2011,3,12,0,26,20,23,82,6,110
2011,3,13,0,25.4,20.4,22.9,80,6,120
2011,3,14,0,26.4,20.6,23.5,83,6,120
2011,3,15,7.8,25.5,15.4,20.5,83,7,20
2011,3,16,6.4,19.6,14.8,17.2,88,6,40
2011,3,17,1.2,22,15.9,19,84,7,40
2011,3,18,0,23,18.8,20.9,75,8,90
2011,3,19,0,25.2,20.8,23,84,8,110
2011,3,20,0,26.2,21.6,23.9,83,6,120
2011,3,21,0,25.8,22.4,24.1,89,5,120
2011,3,22,19.8,26,18.2,22.1,94,6,40
2011,3,23,4.6,22,17.2,19.6,90,7,40
2011,3,24,0.2,23,18.6,20.8,84,5,40
2011,3,25,1.6,21.5,16.6,19,84,7,40
2011,3,26,4.4,22,17.5,19.8,88,5,70
2011,3,27,29.6,22,15.8,18.9,89,5,90
2011,3,28,8.8,20.8,16.4,18.6,92,6,20
2011,3,29,0.4,21.5,16.8,19.2,78,6,40
2011,3,30,0,22.5,16,19.3,72,6,40
2011,3,31,0,23,17.8,20.4,71,6,40
2011,4,1,0,23,18,20.5,77,6,90
2011,4,2,0,24.5,18.4,21.5,80,3,90
2011,4,3,0,25,18.6,21.8,80,3,90
2011,4,4,1.2,25,18.6,21.8,79,4,90
2011,4,5,2.8,24,17.2,20.6,83,5,20
2011,4,6,0,23.2,18,20.6,77,5,90
2011,4,7,0,25.6,19.3,22.5,80,5,90
2011,4,8,0,25.5,20,22.8,84,7,120
2011,4,9,0,25.2,19,22.1,78,6,110
2011,4,10,0,25,20.2,22.6,84,5,90
2011,4,11,6.4,26,19.2,22.6,83,4,110
2011,4,12,1.6,24.6,20,22.3,86,5,90
2011,4,13,0,25.6,20.2,22.9,87,6,90
2011,4,14,0,25.6,19.8,22.7,84,7,140
2011,4,15,0,27.2,22,24.6,89,5,140
2011,4,16,0,24.5,22,23.3,85,3,270
2011,4,17,0,28.4,22.4,25.4,86,4,270
2011,4,18,6.4,27,17,22,88,5,20
2011,4,19,2.4,22,15.7,18.9,83,5,90
2011,4,20,0,22.5,17,19.8,80,6,90
2011,4,21,0,24.5,19.4,22,82,6,90
2011,4,22,0,25,21.5,23.3,91,4,140
2011,4,23,0,26.8,19.2,23,90,4,40
2011,4,24,0,24.6,20,22.3,81,5,90
2011,4,25,0,25.5,21.4,23.5,92,6,110
2011,4,26,0,26.7,22.4,24.5,93,4,140
2011,4,27,0,28,20.8,24.4,90,5,270
2011,4,28,0,29.5,22.4,26,86,5,120
2011,4,29,0,26.2,23.3,24.8,94,6,110
2011,4,30,0,27.5,24.2,25.9,94,6,120
2011,5,1,0,28.5,23.4,26,92,3,160
2011,5,2,0,29,24.2,26.6,93,6,160
2011,5,3,0,30,23.2,26.6,93,3,180
2011,5,4,0,30.4,23.8,27.1,91,4,160
2011,5,5,0,28.6,24,26.3,94,4,140
2011,5,6,0,29,24.4,26.7,91,4,140
2011,5,7,0,29.4,24.5,27,91,5,120
2011,5,8,9,28,22.4,25.2,93,7,110
2011,5,9,5.8,28,21.7,24.9,94,10,140
2011,5,10,2,27,23,25,96,8,310
2011,5,11,0,29.3,24.2,26.8,91,4,270
2011,5,12,0,31.5,24.3,27.9,88,2,180
2011,5,13,0,29.4,24.2,26.8,90,1,180
2011,5,14,2.4,29.4,24.2,26.8,91,2,140
2011,5,15,0,29.6,24.5,27,93,4,180
2011,5,16,0,31.8,23.6,27.7,92,5,270
2011,5,17,9.4,30,21.4,25.7,95,3,270
2011,5,18,11.4,27,22.9,25,94,2,160
2011,5,19,49.8,26.8,20.7,23.8,92,4,140
2011,5,20,24.2,25.8,20.6,23.2,97,1,160
2011,5,21,0,28,24.4,26.2,92,4,140
2011,5,22,7,29.5,24.6,27,91,4,180
2011,5,23,0,29.6,24.7,27.2,92,3,180
2011,5,24,0,29.7,24.5,27.1,91,2,140
2011,5,25,10.4,30.2,23.1,26.7,88,5,90
2011,5,26,1.2,29.5,23,26.3,88,4,40
2011,5,27,69,26.5,22,24.3,95,13,20
2011,5,28,0,27.5,23,25.3,90,6,270
2011,5,29,1,28.6,22.3,25.5,91,3,90
2011,5,30,0.2,27,23.2,25.1,92,7,90
2011,5,31,0.1,27,23.3,25.2,98,5,110
2011,6,1,0,29,24.3,26.7,91,4,180
2011,6,2,6.8,29.4,24.6,27,92,2,160
2011,6,3,0,30.5,25,27.8,91,1,180
2011,6,4,0,30.2,24.6,27.4,90,5,180
2011,6,5,0,29.7,25.4,27.5,92,6,180
2011,6,6,0,30.2,25,27.6,87,3,180
2011,6,7,0,31.5,26,28.8,90,2,140
2011,6,8,0,30.4,25.4,27.9,88,4,180
2011,6,9,0,29.2,25,27.1,89,7,140
2011,6,10,0,29.2,24,26.6,89,7,160
2011,6,11,0,29.4,25.4,27.4,85,5,180
2011,6,12,0,29.6,25.8,27.7,87,5,180
2011,6,13,0,30.4,25.4,27.9,89,6,160
2011,6,14,0,30.4,25.6,28,89,5,160
2011,6,15,0,29.6,25.2,27.4,86,7,160
2011,6,16,0,30.2,25.4,27.8,85,7,160
2011,6,17,0,30.2,25.4,27.8,87,5,160
2011,6,18,0,30.4,25.4,27.9,87,5,120
2011,6,19,17,29.6,23.6,26.6,90,7,110
2011,6,20,13.4,28.6,23.8,26.2,96,7,160
2011,6,21,0,28.8,25.2,27,89,8,160
2011,6,22,0,29.4,25.2,27.3,88,5,140
2011,6,23,1,30.4,24.4,27.4,85,6,40
2011,6,24,1.2,30,24.6,27.3,84,6,300
2011,6,25,4.4,29.6,24.4,27,88,7,260
2011,6,26,7.4,29.4,22.6,26,84,6,240
2011,6,27,13.4,28,22,25,87,4,240
2011,6,28,3.2,29,23.9,26.5,93,3,140
2011,6,29,0.2,29.6,24.2,26.9,88,3,90
2011,6,30,0,29.4,24,26.7,89,4,110
2011,7,1,3,30,23.7,26.9,89,4,110
2011,7,2,0,29.7,25.1,27.4,89,4,180
2011,7,3,0,30,24.4,27.2,85,4,140
2011,7,4,0,30.2,24.6,27.4,83,4,140
2011,7,5,7.8,30.5,24,27.3,89,3,90
2011,7,6,10.4,30,24.2,27.1,92,2,90
2011,7,7,0,29,24.8,26.9,93,4,270
2011,7,8,1.6,28,24,26,94,6,270
2011,7,9,18.4,27.1,23,25,93,6,270
2011,7,10,44.6,28.4,22,25.2,92,3,270
2011,7,11,43,29.6,22,25.8,88,4,140
2011,7,12,65.2,26,22,24,97,1,220
2011,7,13,8.3,26.6,21.2,23.9,93,2,140
2011,7,14,13,29.6,23.5,26.5,92,3,160
2011,7,15,0,29.5,24.6,27,90,2,180
2011,7,16,1,30.5,24.5,27.5,88,4,270
2011,7,17,0,29.2,24.6,26.9,88,8,270
2011,7,18,1.3,30.6,24.2,27.4,84,10,270
2011,7,19,9.3,29.6,23.8,26.7,87,8,270
2011,7,20,0,30.5,24,27.3,86,6,270
2011,7,21,0,30.8,24.6,27.7,86,3,270
2011,7,22,0,30.8,24.9,27.9,87,1,270
2011,7,23,0,31,24.5,27.8,85,2,180
2011,7,24,0,31.5,25,28.3,88,3,120
2011,7,25,3.2,30.6,25.4,28,85,5,110
2011,7,26,4.2,31,24,27.5,84,7,90
2011,7,27,8.8,29,22,25.5,90,9,110
2011,7,28,7.2,28.2,23.2,25.7,92,7,140
2011,7,29,5.8,28.7,23.8,26.3,94,1,140
2011,7,30,8.2,30.3,24.1,27.2,87,1,180
2011,7,31,3.2,29.5,23.6,26.5,90,2,90
2011,8,1,1.2,30.5,24.4,27.5,86,3,90
2011,8,2,1.8,30.5,24.4,27.5,87,2,90
2011,8,3,0,30,24,27,85,6,310
2011,8,4,0,30.5,24.6,27.5,89,6,270
2011,8,5,7.6,29,24.4,26.7,93,7,270
2011,8,6,0,30,25,27.5,88,7,270
2011,8,7,0,30.6,25.2,27.9,84,5,270
2011,8,8,0.6,30,24,27,84,2,90
2011,8,9,0,30,24,27,86,2,90
2011,8,10,3,30.6,24.4,27.5,86,2,110
2011,8,11,0,30.5,24.4,27.5,85,5,120
2011,8,12,0,30.4,24.8,27.6,86,4,140
2011,8,13,0,30.4,25.5,28,86,6,140
2011,8,14,0,30.5,25.6,28,86,6,140
2011,8,15,0.2,31,24.9,28,86,5,160
2011,8,16,0,30.8,25,27.9,83,5,160
2011,8,17,1.2,31,24.8,27.9,84,5,120
2011,8,18,29,31,21.4,26.2,85,5,90
2011,8,19,9.2,29.6,22,25.8,86,4,90
2011,8,20,5.6,30,24.9,27.5,88,4,90
2011,8,21,0,30.2,25.2,27.7,86,4,90
2011,8,22,0,31,24.9,28,86,3,140
2011,8,23,10.6,30,23.8,26.9,88,2,360
2011,8,24,0,30,24.6,27.3,84,3,20
2011,8,25,11,30,24.3,27.2,84,4,20
2011,8,26,12.2,30,22,26,84,6,60
2011,8,27,56.2,28.5,20.5,24.5,91,15,90
2011,8,28,88.2,26.5,23.5,25,93,15,240
2011,8,29,3.9,27.6,22.8,25.2,91,10,220
2011,8,30,0,28.4,23.8,26.1,88,8,240
2011,8,31,0,28.6,24.2,26.4,85,7,240
2011,9,1,0,29.6,23.8,26.7,85,6,240
2011,9,2,8.8,30.2,22.4,26.3,91,3,270
2011,9,3,0.2,29.5,23,26.3,90,3,270
2011,9,4,0,30.5,22.8,26.7,88,3,360
2011,9,5,0,30.5,23.2,26.9,87,1,360
2011,9,6,0,30.2,23,26.6,87,0,0
2011,9,7,0,31,23.2,27.1,85,1,90
2011,9,8,0,30.5,23.6,27,84,4,110
2011,9,9,2,30.6,24,27.3,84,4,120
2011,9,10,2.6,29.7,22.7,26.2,88,6,110
2011,9,11,1,29.2,23,26.1,88,4,110
2011,9,12,10.4,30.6,21.6,26.1,86,4,20
2011,9,13,23.4,29,22.2,25.6,91,3,360
2011,9,14,26.4,27.6,21.6,24.6,95,4,360
2011,9,15,17.8,27.5,21.5,24.5,94,4,360
2011,9,16,3.2,29.5,23.6,26.5,88,5,270
2011,9,17,111.4,26.6,21.6,24.1,94,4,270
2011,9,18,0,29.8,23.7,26.8,87,3,360
2011,9,19,2.6,29.2,23,26.1,88,1,60
2011,9,20,6.2,29.2,22.6,25.9,89,3,70
2011,9,21,59.2,28,21.2,24.6,88,4,90
2011,9,22,16.4,26.5,21.8,24.2,92,6,90
2011,9,23,0,27.6,22.8,25.2,83,6,90
2011,9,24,45.4,28.1,22.4,25.3,92,4,90
2011,9,25,8.2,28.6,23,25.8,88,5,90
2011,9,26,9.3,30,22,26,83,7,70
2011,9,27,19.4,28.2,21.6,24.9,91,10,110
2011,9,28,0,28.4,25.4,26.9,91,9,140
2011,9,29,0.3,30.2,24.1,27.2,89,2,160
2011,9,30,8.6,29.8,22,25.9,88,4,40
2011,10,1,94.3,27.8,19,23.4,93,10,40
2011,10,2,0,28.4,22.6,25.5,89,7,110
2011,10,3,4.8,30,23.9,27,92,5,140
2011,10,4,27.6,29.8,23.4,26.6,91,1,140
2011,10,5,9.6,30,23.7,26.9,88,3,90
2011,10,6,69.4,29.6,22,25.8,90,3,90
2011,10,7,0,27.2,22.8,25,90,4,60
2011,10,8,24.4,27.8,22.2,25,90,6,90
2011,10,9,25.6,27.4,22,24.7,93,6,110
2011,10,10,8,28.2,23,25.6,92,5,90
2011,10,11,21,29,22.8,25.9,90,5,120
2011,10,12,0,29.2,24,26.6,87,5,120
2011,10,13,5.2,29.6,23.4,26.5,86,7,140
2011,10,14,34.6,28,22.6,25.3,92,4,140
2011,10,15,2,28.6,22.8,25.7,93,1,270
2011,10,16,189.6,27.2,20.2,23.7,94,1,20
2011,10,17,0,27,23,25,92,5,360
2011,10,18,5.2,27,21.4,24.2,84,6,20
2011,10,19,1.2,26,21.4,23.7,85,6,40
2011,10,20,0,28.2,24.3,26.3,87,2,40
2011,10,21,0,29.7,23.5,26.6,85,1,90
2011,10,22,28.6,28.8,21.6,25.2,89,2,90
2011,10,23,13.2,27.2,21.6,24.4,94,1,90
2011,10,24,1,28.9,22,25.5,86,3,90
2011,10,25,9,28.6,20.2,24.4,83,5,90
2011,10,26,2,26.5,21.8,24.2,83,4,20
2011,10,27,0.2,27,21.8,24.4,84,3,40
2011,10,28,0.2,27.8,22.2,25,85,4,60
2011,10,29,0,27,22,24.5,80,4,40
2011,10,30,0,26.5,22.5,24.5,85,5,40
2011,10,31,6.4,28.6,21.7,25.2,88,4,20
2011,11,1,18.8,28.5,21,24.8,90,4,40
2011,11,2,61.4,27,19.7,23.4,96,3,40
2011,11,3,1.2,27.8,23.5,25.7,90,6,90
2011,11,4,0.1,27.7,23.4,25.5,91,7,90
2011,11,5,0.8,28.5,23,25.8,91,5,90
2011,11,6,63.8,28.5,20.6,24.5,92,7,90
2011,11,7,53.2,26.8,21,23.9,94,9,120
2011,11,8,13,26.6,22,24.3,93,5,140
2011,11,9,4.6,28.4,22.1,25.3,92,3,180
2011,11,10,0,29.3,21.7,25.5,90,3,120
2011,11,11,48.6,27.5,21.6,24.5,92,1,90
2011,11,12,0.2,29,23.7,26.4,88,5,110
2011,11,13,0,27.8,22.8,25.3,84,4,110
2011,11,14,1,27.4,23,25.2,89,4,40
2011,11,15,19.4,27.2,19.7,23.5,93,6,90
2011,11,16,97.6,26,20.6,23.3,96,6,90
2011,11,17,7.4,27,22,24.5,94,8,140
2011,11,18,1,28.5,23.4,26,92,7,140
2011,11,19,2.6,28.7,22,25.4,93,3,180
2011,11,20,10.6,29,20,24.5,86,7,20
2011,11,21,0,24.8,19.6,22.2,75,6,60
2011,11,22,0.2,26,19.8,22.9,81,5,90
2011,11,23,0,27.5,21,24.3,79,5,90
2011,11,24,0.2,25.6,17.6,21.6,75,6,40
2011,11,25,0,24.5,17.2,20.9,74,5,40
2011,11,26,1.2,26.5,19.4,23,74,6,40
2011,11,27,1.2,24.8,18.4,21.6,86,3,40
2011,11,28,0.4,26.8,21.4,24.1,82,4,20
2011,11,29,1.6,27.4,21.2,24.3,89,2,40
2011,11,30,0.6,27.6,20.6,24.1,95,3,90
2011,12,1,4,26,18.6,22.3,91,4,20
2011,12,2,7.2,23,18.6,20.8,90,4,40
2011,12,3,1,23.2,17.6,20.4,85,6,20
2011,12,4,2,24.6,18.8,21.7,77,5,40
2011,12,5,12.6,24.6,19.8,22.2,92,5,90
2011,12,6,43.6,26,20.4,23.2,96,6,110
2011,12,7,5.2,26.5,21.8,24.2,94,6,110
2011,12,8,15.8,26,17.2,21.6,95,5,90
2011,12,9,23.8,22.5,17,19.8,92,9,40
2011,12,10,30.4,21.6,16.4,19,98,8,40
2011,12,11,28.2,21.8,17,19.4,95,6,40
2011,12,12,23,22.6,18.8,20.7,96,6,40
2011,12,13,28.2,22.6,18.8,20.7,97,4,40
2011,12,14,32,24.4,19.9,22.1,96,3,40
2011,12,15,2.6,24.2,18.5,21.4,92,4,40
2011,12,16,3.9,22.5,16.4,19.5,89,7,40
2011,12,17,5.6,21.5,16.2,18.9,86,7,40
2011,12,18,8.2,23,16.8,19.9,82,4,40
2011,12,19,3.4,22.8,16.8,19.8,78,6,40
2011,12,20,14.4,22.6,16.4,19.5,91,6,90
2011,12,21,15.4,22,17.8,19.9,96,3,90
2011,12,22,16.4,21.6,16.4,19,96,5,40
2011,12,23,2,21,16.7,18.9,88,4,40
2011,12,24,6.6,21,15.2,18.1,80,6,40
2011,12,25,0,20.4,15.2,17.8,73,7,40
2011,12,26,0.6,21.4,16.2,18.8,73,5,40
2011,12,27,0.4,22.5,17,19.8,73,7,90
2011,12,28,0,23.6,18.8,21.2,79,7,90
2011,12,29,1.8,23.6,17.4,20.5,78,5,90
2011,12,30,0.4,23.4,16.4,19.9,86,4,40
2011,12,31,3.8,23.4,16.8,20.1,92,3,40
2012,1,1,2.4,23.5,16.2,19.9,88,5,40
2012,1,2,0,21.2,16.8,19,77,6,40
2012,1,3,0,22.4,18.6,20.5,78,5,90
2012,1,4,61.2,21.6,15.1,18.4,88,5,20
2012,1,5,1.2,24.3,15.2,19.8,88,4,40
2012,1,6,37.8,25.3,16.6,21,91,6,40
2012,1,7,5.6,22.5,18.5,20.5,88,4,20
2012,1,8,11.2,23.4,18.3,20.9,91,2,20
2012,1,9,13,22.6,17.6,20.1,94,4,20
2012,1,10,0,22.6,18.1,20.4,89,4,20
2012,1,11,11.6,21,15.3,18.1,86,4,40
2012,1,12,21.4,23,16.8,19.9,88,6,40
2012,1,13,1.6,24.7,18,21.4,83,6,110
2012,1,14,0,25.2,20.1,22.7,84,8,90
2012,1,15,0,26.8,20.4,23.6,86,4,180
2012,1,16,2.2,24.6,16.4,20.5,92,6,310
2012,1,17,5.8,22.6,16.2,19.4,68,4,40
2012,1,18,6.6,23.6,19.3,21.5,94,6,30
2012,1,19,0.6,24,19.7,21.9,94,3,20
2012,1,20,0,24.2,18.6,21.4,82,2,90
2012,1,21,0,24.7,19,21.9,77,6,90
2012,1,22,2.4,25.3,16.4,20.9,81,5,40
2012,1,23,2,22.6,16.8,19.7,86,4,40
2012,1,24,0,25.7,18.1,21.9,84,2,360
2012,1,25,4.4,24.2,15.3,19.8,76,5,360
2012,1,26,0,23.2,18,20.6,74,7,120
2012,1,27,0,25.5,18.5,22,77,6,140
2012,1,28,4.2,27.3,20.8,24.1,88,4,140
2012,1,29,0,24.6,19,21.8,89,3,40
2012,1,30,0,24.5,18.2,21.4,96,3,110
2012,1,31,0,25.6,18.2,21.9,78,2,40
2012,2,1,5.8,24.6,18.5,21.5,75,5,120
2012,2,2,0,24.6,18,21.3,83,5,40
2012,2,3,17,23.4,17.2,20.3,83,5,90
2012,2,4,0,24,17,20.5,76,7,140
2012,2,5,0,25.6,20,22.8,76,7,140
2012,2,6,0,26.2,20.6,23.4,82,5,180
2012,2,7,0,27,17.2,22.1,83,6,360
2012,2,8,7.2,23.5,15,19.3,93,4,60
2012,2,9,6.8,22,15,18.5,84,6,90
2012,2,10,7.4,24,18,21,82,6,90
2012,2,11,0,24.2,18,21.1,82,5,90
2012,2,12,0.6,24.6,18.4,21.5,83,8,90
2012,2,13,4.4,24.3,18.4,21.4,90,3,90
2012,2,14,0,26,20.4,23.2,88,8,140
2012,2,15,1,26.6,20.6,23.6,89,6,140
2012,2,16,4.8,25,18.4,21.7,96,3,20
2012,2,17,2,22.1,14.6,18.4,90,4,40
2012,2,18,4.6,20,14.2,17.1,83,5,40
2012,2,19,2,20.3,14.4,17.4,88,5,60
2012,2,20,2.8,21.2,16.6,18.9,92,5,90
2012,2,21,13.8,22.4,16.2,19.3,94,8,90
2012,2,22,4.2,25.2,18.6,21.9,92,4,140
2012,2,23,0,29.3,21.7,25.5,85,1,310
2012,2,24,0,28,20.9,24.5,93,1,340
2012,2,25,0,28.4,18.6,23.5,91,3,20
2012,2,26,0.6,25.2,18,21.6,83,4,40
2012,2,27,0,25.5,18.2,21.9,83,7,90
2012,2,28,3.4,25.6,20.2,22.9,89,7,180
2012,2,29,0.2,25,20,22.5,92,7,90
2012,3,1,0,26.6,22,24.3,90,6,110
2012,3,2,0,27.5,22.5,25,84,6,120
2012,3,3,0,27.5,22.4,25,88,7,140
2012,3,4,0,27.6,23.2,25.4,81,6,140
2012,3,5,0,27.6,22.2,24.9,82,7,160
2012,3,6,0,28.6,23,25.8,82,5,140
2012,3,7,0,28.6,21.7,25.2,87,3,160
2012,3,8,0,29.6,22.6,26.1,86,3,140
2012,3,9,9.4,29,18.2,23.6,92,4,40
2012,3,10,4.6,24.5,17.7,21.1,92,4,40
2012,3,11,0.6,22.4,16.6,19.5,85,5,60
2012,3,12,5,21.4,17,19.2,87,6,40
2012,3,13,0.2,24.2,18.6,21.4,91,5,90
2012,3,14,0,25.1,20.8,23,88,5,90
2012,3,15,0,26,21.2,23.6,89,6,110
2012,3,16,0,27.3,22.7,25,84,6,140
2012,3,17,0,27.5,22.6,25,83,6,140
2012,3,18,0,28,21.7,24.9,88,6,160
2012,3,19,0,25.2,21.8,23.5,84,6,140
2012,3,20,0,27.4,21.9,24.6,84,6,140
2012,3,21,0,25.7,21,23.4,85,6,90
2012,3,22,1.4,27,21.7,24.4,86,7,90
2012,3,23,7.6,28.6,16.8,22.7,91,4,160
2012,3,24,5.3,20.5,15,17.8,92,5,20
2012,3,25,0,21.2,15.4,18.3,73,4,40
2012,3,26,0,22.2,16.4,19.3,70,8,40
2012,3,27,0,22.7,17,19.9,71,6,40
2012,3,28,0,23.6,19,21.3,74,6,40
2012,3,29,0,24.7,17.2,21,76,6,90
2012,3,30,57.7,25.5,19.2,22.4,84,7,110
2012,3,31,20.2,24.3,17,20.7,93,4,90
2012,4,1,6.4,25,17.4,21.2,95,4,40
2012,4,2,0,27.4,21.4,24.4,96,5,140
2012,4,3,0,28.6,18,23.3,87,5,40
2012,4,4,0,25,18,21.5,85,6,90
2012,4,5,0,28.5,20.5,24.5,92,2,90
2012,4,6,0,25.4,18.6,22,85,4,40
2012,4,7,2,25.5,19,22.3,86,6,90
2012,4,8,0,24.5,19.7,22.1,86,7,90
2012,4,9,10,25.7,20.8,23.3,92,1,90
2012,4,10,0,27,22,24.5,88,6,110
2012,4,11,0,28.5,21,24.8,92,6,140
2012,4,12,0,28.8,23,25.9,93,5,140
2012,4,13,0,29.1,22.2,25.7,91,3,140
2012,4,14,0,31.5,23,27.3,91,1,270
2012,4,15,0,29,22.4,25.7,91,2,140
2012,4,16,0,28.8,21.4,25.1,90,2,270
2012,4,17,0,26,21.2,23.6,89,2,90
2012,4,18,0,27.6,22.8,25.2,89,5,90
2012,4,19,0,28.6,22.7,25.7,89,3,140
2012,4,20,0,28.7,23,25.9,89,2,140
2012,4,21,0.8,32.4,23.4,27.9,83,2,140
2012,4,22,7,30.8,20.3,25.6,84,1,360
2012,4,23,0,29.5,24,26.8,88,6,180
2012,4,24,0,29,24,26.5,87,4,140
2012,4,25,0.4,30.5,23.8,27.2,85,3,180
2012,4,26,11,30,21.5,25.8,86,3,270
2012,4,27,79.8,29.2,18.6,23.9,88,5,90
2012,4,28,0.6,27.5,24,25.8,79,5,140
2012,4,29,0,29,24.6,26.8,86,5,180
2012,4,30,0,31,24.2,27.6,89,4,180
2012,5,1,0,31.5,23.8,27.7,84,2,220
2012,5,2,0,31.5,24.1,27.8,88,6,290
2012,5,3,0,31.5,23.3,27.4,89,4,320
2012,5,4,3.2,30.6,23,26.8,86,5,290
2012,5,5,0,29,23.5,26.3,85,4,340
2012,5,6,7.6,26.6,22,24.3,92,4,140
2012,5,7,0,29,23,26,84,4,120
2012,5,8,0,30,23,26.5,86,3,120
2012,5,9,0,31.5,23.8,27.7,87,6,290
2012,5,10,0,30.6,23.2,26.9,87,2,130
2012,5,11,0.4,29.6,22.8,26.2,88,3,140
2012,5,12,18,28.8,22,25.4,94,5,160
2012,5,13,0.2,30.1,21.8,26,92,4,160
2012,5,14,0,30.5,25,27.8,89,6,160
2012,5,15,34.7,31.6,21.4,26.5,87,4,180
2012,5,16,11.8,30,20.5,25.3,76,3,270
2012,5,17,6.4,29.5,21.6,25.5,88,3,310
2012,5,18,13.4,28.6,21.8,25.2,90,2,90
2012,5,19,7,29.3,22,25.7,91,3,240
2012,5,20,5,30.2,21,25.6,92,3,290
2012,5,21,50.4,26.6,20.7,23.7,93,3,60
2012,5,22,2,27.3,21.4,24.4,88,5,40
2012,5,23,0,28.1,22.6,25.4,80,1,110
2012,5,24,0,28,22.7,25.4,84,6,110
2012,5,25,14,29.5,24,26.8,86,3,110
2012,5,26,1,29.3,22.1,25.7,91,3,160
2012,5,27,2.8,30.4,23.4,26.9,93,3,140
2012,5,28,9.2,29,22,25.5,90,2,140
2012,5,29,0,28.1,22,25,90,4,110
2012,5,30,0,30,24,27,92,2,140
2012,5,31,11.6,30.6,23.1,26.9,87,3,90
2012,6,1,2.4,29.8,23,26.4,88,4,40
2012,6,2,1.4,30.6,22.8,26.7,91,4,40
2012,6,3,1.6,29.1,23,26,91,7,340
2012,6,4,2.6,30,23.6,26.8,91,5,320
2012,6,5,0,31,23.5,27.3,89,3,170
2012,6,6,0,31.5,23.8,27.7,83,2,160
2012,6,7,0,32.5,25,28.8,86,3,160
